Dental Services Pricelist for Government sector (Article 11),,,,,,,,,,,
Admitted / Non admitted,SBSCode,SBS code -Hyphenated ,Short Description,Long Description,Block ,Block Description ,Chapter ,Chapter Description ,Department/ Specialty,Price,
Non-admitted,977190030,97719-00-30,"Porcelain/ ceramic abutment for resin bonded fixed prosthesis, per abutment","Porcelain/ ceramic abutment for resin bonded fixed prosthesis, per abutment",474,Denture or denture component,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,977190040,97719-00-40,"Porcelain fused metal abutment, per abutment","Porcelain fused metal abutment, per abutment",474,Denture or denture component,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,977210020,97721-00-20,Titanium abutment ,"Titanium abutment, per abutment",474,Denture or denture component,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,977210030,97721-00-30,Lithium disilicate ceramic abutment,"Lithium disilicate ceramic abutment (E Max), per abutment",474,Denture or denture component,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,977210040,97721-00-40,Zirconium abutment,"Zirconium abutment, per abutment",474,Denture or denture component,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,977210050,97721-00-50,High noble metal abutment,"High noble metal abutment, per abutment",474,Denture or denture component,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,977210060,97721-00-60,Noble metal abutment,"Noble metal abutment, per abutment",474,Denture or denture component,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,977210070,97721-00-70,Resin with metal abutment,"Resin with metal abutment, per abutment",474,Denture or denture component,6,Dental services ,Fixed prosthodontics,2000,
Non-admitted,976450000,97645-00-00,"Precision or magnetic attachment, FPD","Precision or magnetic attachment, fixed partial denture",471,Bridge,6,Dental services ,Fixed prosthodontics,1000,
Non-admitted,976490010,97649-00-10,Retainer bonded fixture,"Retainer for bonded fixture, indirect, per tooth",471,Bridge,6,Dental services ,Fixed prosthodontics,100,
Non-admitted,975960010,97596-00-10,Repair of indirect restoration,"Repair of indirect restoration (Veneer, Inlay, Onlay)",469,Other restorative dental service,6,Dental services ,Fixed prosthodontics,100,
Non-admitted,976580000,97658-00-00,"Repair crown, FPD or splint, indirect","Repair of crown, fixed partial denture or splint, indirect",472,Other dental service on crown and bridge,6,Dental services ,Fixed prosthodontics,800,
Non-admitted,976590000,97659-00-00,"Repair crown, FPD or splint, direct","Repair of crown, fixed partial denture or splint, direct",472,Other dental service on crown and bridge,6,Dental services ,Fixed prosthodontics,300,
Non-admitted,976510000,97651-00-00,"Recementing crown or veneer, Onlay, Inlay","Recementing Crown, Veneer, Onlay, Inlay",472,Other dental service on crown and bridge,6,Dental services ,Fixed prosthodontics,300,
Non-admitted,976520010,97652-00-10,Recementing/rebonding FPD/splint per abutment,"Recementing/rebonding fixed partial denture or splint, per abutment",472,Other dental service on crown and bridge,6,Dental services ,Fixed prosthodontics,400,
Non-admitted,976560000,97656-00-00,Removal of FPD or splint,Removal of fixed partial denture or splint,472,Other dental service on crown and bridge,6,Dental services ,Fixed prosthodontics,200,
Non-admitted,975950010,97595-00-10,Removal of indirect restoration,"Removal of indirect restoration (Veneer, Inlay, Onlay)",469,Other restorative dental service,6,Dental services ,Fixed prosthodontics,200,
Non-admitted,976550000,97655-00-00,Removal of crown,Removal of crown,472,Other dental service on crown and bridge,6,Dental services ,Fixed prosthodontics,200,
Non-admitted,976290200,97629-02-00,Removal of post in Prosthodontic procedures,Removal of post in Prosthodontic procedures,470,Crown,6,Dental services ,Fixed prosthodontics,350,
Non-admitted,976780000,97678-00-00,Fabrication of diagnostic template,Fabrication of diagnostic template,473,Implant prosthesis,6,Dental services ,Dental implant,400,
Non-admitted,976790000,97679-00-00,Fabrication of surgical implant guide,Fabrication of surgical implant guide,473,Implant prosthesis,6,Dental services ,Dental implant,400,
Non-admitted,976890000,97689-00-00,Insertion of provisional implant; per implant,Insertion of provisional implant; per implant,473,Implant prosthesis,6,Dental services ,Dental implant,1200,
Non-admitted,976900000,97690-00-00,Insertion of provisional retention device; per unit,Insertion of provisional retention device; per unit,473,Implant prosthesis,6,Dental services ,Dental implant,1000,
Non-admitted,976640000,97664-00-00,Fitting of bar for denture,Fitting of bar for denture,473,Implant prosthesis,6,Dental services ,Dental implant,1500,
Non-admitted,458470100,45847-01-00,Endodontic implant,Insertion of endodontic implant; per implant,473,Implant prosthesis,6,Dental services ,Dental implant,5000,
Non-admitted,458460000,45846-00-00,Insertion of One-stage endosseous implant,Insertion of one-stage endosseous implant; per implant,400,"Application, insertion or removal procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Dental implant,4000,
Non-admitted,458450010,45845-00-10,Insertion of intraoral osseointegrated dental implant; first stage,Insertion of intraoral osseointegrated dental implant; first stage,400,"Application, insertion or removal procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Dental implant,part of main service and / or follow ups,
Non-admitted,458470010,45847-00-10,Insertion of intraoral osseointegrated dental implant; second stage,Insertion of intraoral osseointegrated dental implant; second stage,400,"Application, insertion or removal procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Dental implant,part of main service and / or follow ups,
Non-admitted,458470200,45847-02-00,Surgical placement of mini implant,Surgical placement of mini implant; per implant,473,Implant prosthesis,6,Dental services ,Dental implant,5000,
Non-admitted,458470300,45847-03-00,Surgical placement; eposteal implant,Surgical placement of eposteal implant,473,Implant prosthesis,6,Dental services ,Dental implant,4000,
Non-admitted,458470400,45847-04-00,Surgical placement; transosteal implant,Surgical placement of transosteal implant,473,Implant prosthesis,6,Dental services ,Dental implant,4000,
Non-admitted,977110030,97711-00-30,Zygomatic implants,Zygomatic implants,474,Denture or denture component,6,Dental services ,Dental implant,10000,
Non-admitted,976610010,97661-00-10,"Fitting of implant abutment, custom","Fitting of implant abutment, custom",473,Implant prosthesis,6,Dental services ,Dental implant,part of main service and / or follow ups,
Non-admitted,976610100,97661-01-00,Fitting of implant abutment; pre-fabricated,"Fitting of implant abutment, pre-fabricated",473,Implant prosthesis,6,Dental services ,Dental implant,part of main service and / or follow ups,
Non-admitted,976140100,97614-01-00,"Abutment supported crown, Porcelain or ceramic",Abutment supported crown; Porcelain or ceramic,470,Crown,6,Dental services ,Dental implant,4000,
Non-admitted,976140200,97614-02-00,"Abutment supported crown, titanium","Abutment supported crown, titanium",470,Crown,6,Dental services ,Dental implant,4000,
Non-admitted,976140300,97614-03-00,"Abutment supported crown, porcelain fused to noble metal","Abutment supported crown, porcelain fused to noble metal",470,Crown,6,Dental services ,Dental implant,4000,
Non-admitted,976140400,97614-04-00,"Abutment supported crown, porcelain fused to semiprecious metal","Abutment supported crown, porcelain fused to semiprecious metal",470,Crown,6,Dental services ,Dental implant,4000,
Non-admitted,977120010,97712-00-10,"Implant supported complete denture, provisional; maxillary","Implant supported complete denture, provisional; maxillary",474,Denture or denture component,6,Dental services ,Dental implant,1000,
Non-admitted,977130010,97713-00-10,"Implant supported complete denture, provisional; mandibular","Implant supported complete denture, provisional;  mandibular",474,Denture or denture component,6,Dental services ,Dental implant,1000,
Non-admitted,977110010,97711-00-10,"Implant supported complete denture, maxillary",Implant supported complete denture; maxillary,474,Denture or denture component,6,Dental services ,Dental implant,8000,
Non-admitted,977110020,97711-00-20,"Implant supported complete denture, mandibular","Implant supported complete denture, mandibular",474,Denture or denture component,6,Dental services ,Dental implant,8000,
Non-admitted,976650000,97665-00-00,Prosthesis w removable resin base atchd impl,"Prosthesis with removable resin base attached to implants, per arch",473,Implant prosthesis,6,Dental services ,Dental implant,4000,
Non-admitted,976660000,97666-00-00,Prosthesis with fixed metal frame attached to implants,Prosthesis with fixed metal frame attached to implants,473,Implant prosthesis,6,Dental services ,Dental implant,4000,
Non-admitted,976670000,97667-00-00,Prosthesis with removable metal frame attached to implants,Prosthesis with removable metal frame attached to implants; per arch,473,Implant prosthesis,6,Dental services ,Dental implant,7000,
Non-admitted,976710000,97671-00-00,Full crown attached to osseointegrated implant; nonmetallic indirect,"Full crown attached to osseointegrated implant, nonmetallic; indirect",473,Implant prosthesis,6,Dental services ,Dental implant,3500,
Non-admitted,976720000,97672-00-00,"Full crown attached to osseointegrated implant, veneered indirect","Full crown attached to osseointegrated implant, veneered; indirect",473,Implant prosthesis,6,Dental services ,Dental implant,3500,
Non-admitted,976730000,97673-00-00,"Full crown attached to osseointegrated implant, metallic indirect","Full crown attached to osseointegrated implant, metallic; indirect",473,Implant prosthesis,6,Dental services ,Dental implant,3500,
Non-admitted,976680020,97668-00-20,Replacement of semi-precision attachment (male or female component) of implant/abutment supported prosthesis,Replacement of semi-precision attachment (male or female component) of implant/abutment supported prosthesis; per attachment,473,Implant prosthesis,6,Dental services ,Dental implant,1500,
Non-admitted,976140500,97614-05-00,Re-cement or re-bond implant/abutment supported crown,Re-cementing or re-bonding implant/abutment supported crown,477,Other prosthodontic service,6,Dental services ,Dental implant,300,
Non-admitted,977110040,97711-00-40,Re-cement or re-bond implant/abutment supported fixed partial denture,Re-cementing or re-bonding implant/abutment supported fixed partial denture,477,Other prosthodontic service,6,Dental services ,Dental implant,400,
Non-admitted,977110080,97711-00-80,"Repair implant supported prosthesis, other","Repair implant supported prosthesis, other",477,Other prosthodontic service,6,Dental services ,Dental implant,1300,
Non-admitted,977110090,97711-00-90,"Repair implant abutment, other",Repair implant abutment; other,477,Other prosthodontic service,6,Dental services ,Dental implant,1000,
Non-admitted,976690000,97669-00-00,Removal and replacement of prosthesis fixed to implant,Removal and replacement of prosthesis fixed to implant; per implant,473,Implant prosthesis,6,Dental services ,Dental implant,500,
Non-admitted,976630000,97663-00-00,Surgical removal of dental implant and/or retention device; per implant,Surgical removal of dental implant and/or retention device; per implant,473,Implant prosthesis,6,Dental services ,Dental implant,500,
Non-admitted,976630010,97663-00-10,Implant maintenance,Implant maintenance,473,Implant prosthesis,6,Dental services ,Dental implant,500,
Non-admitted,977130020,97713-00-20,Interim complete maxillary denture,Interim complete maxillary denture,474,Denture or denture component,6,Dental services ,Removable prosthodontics,2000,
Non-admitted,977140010,97714-00-10,Interim complete mandibular denture,Interim complete mandibular denture,474,Denture or denture component,6,Dental services ,Removable prosthodontics,2000,
Non-admitted,977150010,97715-00-10,Interim complete maxillary and mandibular dentures,Interim complete maxillary and mandibular dentures,474,Denture or denture component,6,Dental services ,Removable prosthodontics,2000,
Non-admitted,977210000,97721-00-00,"Interim partial maxillary denture
","Interim partial maxillary denture
",474,Denture or denture component,6,Dental services ,Removable prosthodontics,1200,
Non-admitted,977220000,97722-00-00,"Interim partial mandibular denture
","Interim partial mandibular denture
",474,Denture or denture component,6,Dental services ,Removable prosthodontics,1200,
Non-admitted,977270000,97727-00-00,"Interim partial maxillary denture, metal","Interim partial maxillary denture, Metal framework with resin",474,Denture or denture component,6,Dental services ,Removable prosthodontics,1500,
Non-admitted,977280000,97728-00-00,"Interim partial mandibular denture, metal framework with resin","Interim partial mandibular denture, Metal framework with resin",474,Denture or denture component,6,Dental services ,Removable prosthodontics,1500,
Non-admitted,977110000,97711-00-00,"Removable complete denture, maxillary",Removable complete denture; maxillary,474,Denture or denture component,6,Dental services ,Removable prosthodontics,3000,
Non-admitted,977120000,97712-00-00,"Removable complete denture, mandibular",Removable complete denture; mandibular,474,Denture or denture component,6,Dental services ,Removable prosthodontics,2000,
Non-admitted,977190000,97719-00-00,"Removable complete denture, maxillary and mandibular","Removable complete denture, maxillary and mandibular",474,Denture or denture component,6,Dental services ,Removable prosthodontics,4000,
Non-admitted,977210080,97721-00-80,"Flexible base removable partial denture, per jaw","Flexible base removable partial denture, per jaw",474,Denture or denture component,6,Dental services ,Removable prosthodontics,2000,
Non-admitted,977270010,97727-00-10,"One piece cast metal removable partial denture, per jaw","One piece cast metal removable partial denture, per jaw",474,Denture or denture component,6,Dental services ,Removable prosthodontics,3000,
Non-admitted,977160000,97716-00-00,Insertion of metal palate or plate,Insertion of metal palate or plate or any other shape with Reinforced metal (casted or prefabricated) to base of resin denture ,474,Denture or denture component,6,Dental services ,Removable prosthodontics,5000,
Non-admitted,977190010,97719-00-10,Removable complete overdenture,Removable complete overdenture; per jaw,474,Denture or denture component,6,Dental services ,Removable prosthodontics,10000,
Non-admitted,977190020,97719-00-20,Removable partial overdenture,Removable partial overdenture; per jaw,474,Denture or denture component,6,Dental services ,Removable prosthodontics,10000,
Non-admitted,977310000,97731-00-00,Insertion of retainer to partial denture,Insertion of retainer to partial denture,474,Denture or denture component,6,Dental services ,Removable prosthodontics,10000,
Non-admitted,977320000,97732-00-00,Occlusal rest part denture per rest,"Occlusal rest to Removable partial denture in the framework, per rest",474,Denture or denture component,6,Dental services ,Removable prosthodontics,1000,
Non-admitted,977340010,97734-00-10,"Overlay, per tooth","Overlay, per tooth",474,Denture or denture component,6,Dental services ,Removable prosthodontics,1000,
Non-admitted,976130600,97613-06-00,Telescopic crown,Telescopic crown; per crown,470,Crown,6,Dental services ,Removable prosthodontics,2000,
Non-admitted,977350000,97735-00-00,Precision or magnetic attachment denture,"Precision or magnetic attachment, denture",474,Denture or denture component,6,Dental services ,Removable prosthodontics,1500,
Non-admitted,977360010,97736-00-10,Immediate replacement of tooth,"Immediate replacement of tooth, per tooth",474,Denture or denture component,6,Dental services ,Removable prosthodontics,200,
Non-admitted,977380000,97738-00-00,Provision of connecting bar of wrought metal,Provision of connecting bar of wrought metal,474,Denture or denture component,6,Dental services ,Removable prosthodontics,1000,
Non-admitted,977390000,97739-00-00,"Metal backing denture tooth, per backing","Metal backing for denture tooth, per backing",474,Denture or denture component,6,Dental services ,Removable prosthodontics,400,
Non-admitted,977790100,97779-01-00,Fabrication of surg guide for immediate denture,Fabrication of surgical guide for immediate denture,477,Other prosthodontic service,6,Dental services ,Removable prosthodontics,500,
Non-admitted,977780010,97778-00-10,Metallic inlay for removable denture tooth,Metallic inlay for removable denture tooth; per tooth,477,Other prosthodontic service,6,Dental services ,Removable prosthodontics,1500,
Non-admitted,977720000,97772-00-00,"Resin splint, indirect","Resin splint, indirect",477,Other prosthodontic service,6,Dental services ,Removable prosthodontics,600,
Non-admitted,977730000,97773-00-00,"Metal splint, indirect","Metal splint, indirect",477,Other prosthodontic service,6,Dental services ,Removable prosthodontics,1200,
Non-admitted,979850000,97985-00-00,Oral appliance for snoring and obstructive sleep apnoea,Oral appliance for diagnosed snoring and obstructive sleep apnoea,490,Miscellaneous dental services,6,Dental services ,Removable prosthodontics,600,
Non-admitted,977370000,97737-00-00,Resilient lining,Resilient lining,474,Denture or denture component,6,Dental services ,Removable prosthodontics,400,
Non-admitted,977430010,97743-00-10,Direct relining of removable partial/ complete denture,"Direct relining of removable partial or complete denture, per jaw (in clinic)",475,Denture maintenance,6,Dental services ,Removable prosthodontics,1200,
Non-admitted,977430020,97743-00-20,Indirect relining of removable partial/ complete denture,"Indirect Relining of removable partial or complete denture, per jaw (in laboratory)",475,Denture maintenance,6,Dental services ,Removable prosthodontics,1200,
Non-admitted,977450000,97745-00-00,Rebase of removable complete denture,Rebase of removable complete denture; per jaw,475,Denture maintenance,6,Dental services ,Removable prosthodontics,500,
Non-admitted,977460000,97746-00-00,Rebase of removable partial denture,Rebase of removable partial denture; per jaw,475,Denture maintenance,6,Dental services ,Removable prosthodontics,700,
Non-admitted,977540000,97754-00-00,Modification of denture base,Modification of denture base,475,Denture maintenance,6,Dental services ,Removable prosthodontics,500,
Non-admitted,977410000,97741-00-00,Adjustment of denture,Adjustment of denture,475,Denture maintenance,6,Dental services ,Removable prosthodontics,300,
Non-admitted,977530000,97753-00-00,Clean & polish pre-existing denture,Cleaning and polishing of pre-existing denture,475,Denture maintenance,6,Dental services ,Removable prosthodontics,500,
Non-admitted,977710000,97771-00-00,Tissue conditioning,Tissue conditioning; per jaw,477,Other prosthodontic service,6,Dental services ,Removable prosthodontics,500,
Non-admitted,977610000,97761-00-00,Reattachment pre-exst clasp to denture,Reattachment of pre-existing clasp to denture,476,Denture repair,6,Dental services ,Removable prosthodontics,400,
Non-admitted,977660100,97766-01-00,Reattaching existing tooth on denture,"Reattaching existing tooth on denture, per tooth",476,Denture repair,6,Dental services ,Removable prosthodontics,500,
Non-admitted,977620000,97762-00-00,Replacement / add new clasp to denture,Replacement or addition of a new clasp to denture,476,Denture repair,6,Dental services ,Removable prosthodontics,400,
Non-admitted,977650000,97765-00-00,Replacement new tooth on denture,"Replacement of a new tooth on denture, per tooth",476,Denture repair,6,Dental services ,Removable prosthodontics,400,
Non-admitted,977680000,97768-00-00,Add tooth prt dent replace extr / decoronated tooth,"Adding tooth to partial denture to replace extracted or decoronated tooth, per tooth",476,Denture repair,6,Dental services ,Removable prosthodontics,400,
Non-admitted,977640000,97764-00-00,Repair of broken base of partial / complete denture,Repair of broken base of partial or complete denture,476,Denture repair,6,Dental services ,Removable prosthodontics,400,
Non-admitted,977690000,97769-00-00,Repair or addition to metal casting,Repair or addition to metal casting,476,Denture repair,6,Dental services ,Removable prosthodontics,400,
Non-admitted,978760010,97876-00-10,Repair/ addition on snoring or sleep apnoea device,Repair/ addition on snoring or sleep apnoea device,483,Other orthodontic service,6,Dental services ,Removable prosthodontics,1500,
Non-admitted,977740010,97774-00-10,Interim obturator prosthesis,Interim obturator prosthesis,477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,9000,
Non-admitted,977740000,97774-00-00,Definitive obturator prosthesis ,Definitive obturator prosthesis ,477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,5000,
Non-admitted,977740020,97774-00-20,Surgical obturator prosthesis,Surgical obturator prosthesis,477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,7000,
Non-admitted,978710040,97871-00-40,Modification obturator prosthesis,Modification obturator prosthesis,483,Other orthodontic service,6,Dental services ,Prosthetic rehabilitation,1000,
Non-admitted,977740030,97774-00-30,Interim palatal lift prosthesis,Interim palatal lift prosthesis,477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,6000,
Non-admitted,977740040,97774-00-40,Definitive palatal lift prosthesis,Definitive palatal lift prosthesis,477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,6000,
Non-admitted,978710050,97871-00-50,Modification palatal lift prosthesis,Modification palatal lift prosthesis,483,Other orthodontic service,6,Dental services ,Prosthetic rehabilitation,1000,
Non-admitted,977740050,97774-00-50,Palatal augmentation prosthesis,Palatal augmentation prosthesis,477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,4500,
Non-admitted,977740060,97774-00-60,Mandibular resection prosthesis,Mandibular resection prosthesis,477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,13000,
Non-admitted,977740070,97774-00-70,Pediatric speech aid prosthesis,Pediatric speech aid prosthesis,477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,1500,
Non-admitted,977740080,97774-00-80,Adult speech aid prosthesis,Adult speech aid prosthesis,477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,1000,
Non-admitted,977741000,97774-10-00,Nasal prosthesis,Nasal prosthesis (Maxillofacial prosthesis),477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,11000,
Non-admitted,977741010,97774-10-10,Auricular prosthesis,Auricular prosthesis (Maxillofacial prosthesis),477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,12000,
Non-admitted,977741020,97774-10-20,Orbital prosthesis,Orbital prosthesis (Maxillofacial prosthesis),477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,15000,
Non-admitted,977741030,97774-10-30,Ocular prosthesis,Ocular prosthesis (Maxillofacial prosthesis),477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,11000,
Non-admitted,977741040,97774-10-40,Facial prosthesis,Facial prosthesis (Maxillofacial prosthesis),477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,11000,
Non-admitted,977741050,97774-10-50,Cranial prosthesis,Cranial prosthesis (Maxillofacial prosthesis),477,Other prosthodontic service,6,Dental services ,Prosthetic rehabilitation,13000,
Non-admitted,978510010,97851-00-10,Appliance for trismus,Appliance for trismus,481,Extraoral appliance,6,Dental services ,Prosthetic rehabilitation,6000,
Non-admitted,977800110,97789-00-10,Other and unsp Prosthodontic procedure,Other and unspecified Prosthodontic procedure,477,Other prosthodontic service,6,Dental services ,Prosthodontics,part of main service and / or follow ups,
Non-admitted,973110110,97311-01-10,Extraction of tooth or part(s) thereof,Simple extraction of tooth or part(s) thereof,457,Nonsurgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,300,
Non-admitted,973140110,97314-01-10,Sectional removal of 1 tooth or part(s) thereof,Sectional removal of one tooth or part(s) thereof,457,Nonsurgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,800,
Non-admitted,973210500,97321-05-00,Surgical removal of one tooth; soft tissue,Surgical removal of one tooth; soft tissue (not requiring removal of bone or tooth division),458,Surgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,800,
Non-admitted,973240110,97324-01-10,Surgical removal of one tooth requiring both removal of bone and tooth division,Surgical removal of one tooth requiring both removal of bone and tooth division (includes elevation of mucoperiosteal flap),458,Surgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,800,
Non-admitted,973210100,97321-01-00,"Surgical removal of impacted tooth, partial bony impacted tooth",Surgical removal of impacted tooth; partial bony impacted tooth; per tooth,458,Surgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,1500,
Non-admitted,973210200,97321-02-00,"Surgical removal of impacted tooth, complete bony impaction",Surgical removal of impacted tooth; complete bony impaction; per tooth,458,Surgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,1500,
Non-admitted,973210400,97321-04-00,Surgical removal of remaining root,Surgical removal of remaining root; per root,458,Surgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,600,
Non-admitted,973220900,97322-09-00,"Full upper dental clearance
","Full upper dental clearance
",458,Surgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,3000,
Non-admitted,973221000,97322-10-00,"Full lower dental clearance
","Full lower dental clearance
",458,Surgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,3000,
Non-admitted,973210600,97321-06-00,Coronectomy,Coronectomy; per tooth,458,Surgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,600,
Non-admitted,973210710,97321-07-10,Corticotomy < = 3 teeth or edentulous spaces,Corticotomy less than or equal to 3 teeth or edentulous spaces,458,Surgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,1000,
Non-admitted,973210720,97321-07-20,Corticotomy > 3 teeth or edentulous spaces,Corticotomy more than 3 teeth or edentulous spaces,458,Surgical removal of tooth,6,Dental services ,Oral and maxillofacial surgery ,1500,
Admitted,973350010,97335-00-10,Ridge split surgical procedure,Ridge split surgical procedure,459,Surgery for prosthetics,6,Dental services ,Oral and maxillofacial surgery ,5000,
Admitted,973871010,97387-10-10,Imp. Oral surgical splint,Implant supported Oral surgical splint,461,Other dental surgical procedure,6,Dental services ,Oral and maxillofacial surgery ,10000,
Admitted/non-admitted ,973430000,97343-00-00,Repositioning of oral muscle attachment,Repositioning of oral muscle attachment,459,Surgery for prosthetics,6,Dental services ,Oral and maxillofacial surgery ,500,
Admitted,501300010,50130-00-10,Intraoral placement of a fixation device not in conjunction with a fracture,Intraoral placement of a fixation device not in conjunction with a fracture,1550,Application of external fixation devices to other musculoskeletal sites,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,150,
Non-admitted,979860010,97986-00-10,Dry socket tx; per socket,Dry socket treatment; per socket,490,Miscellaneous dental services,6,Dental services ,Oral and maxillofacial surgery ,3000,
Non-admitted,973310010,97331-00-10,Alveoloplasty for 1-3 missing teeth spaces,Alveoloplasty for one to three missing teeth spaces,459,Surgery for prosthetics,6,Dental services ,Oral and maxillofacial surgery ,3500,
Non-admitted,973310020,97331-00-20,Alveoloplasty for 4 or more missing teeth spaces,Alveoloplasty for four or more missing teeth spaces,459,Surgery for prosthetics,6,Dental services ,Oral and maxillofacial surgery ,4000,
Non-admitted,417190000,41719-00-00,Drain maxillary antrum thru tooth socket,Drainage of maxillary antrum through tooth socket,383,Incision procedures on nasal sinuses,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,10000,
Non-admitted,302660210,30266-02-10,Sialolithotomy procedure / non Srgcal,Sialolithotomy procedure / non surgical,395,Incision procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,500,
Admitted,302660200,30266-02-00,Sialolithotomy procedure / Srgcal,"Sialolithotomy procedure, surgical",395,Incision procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,2100,
Admitted,302810000,30281-00-00,Labial frenectomy,Labial frenectomy,401,"Incision procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,1300,
Non-admitted,962150010,96215-00-10,"I&D of intraoral abscess, simple or single","Incision and drainage of intraoral abscess, simple or single",401,"Incision procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,500,
Non-admitted,962150020,96215-00-20,"I&D of  intraoral abscess and spaces, complicated or multiple","Incision and drainage of intraoral abscess or spaces, complicated or multiple",401,"Incision procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,700,
Admitted/non-admitted ,901410110,90141-01-10,"Excision of benign/ malig ST lesion, cyst or scar  <= 2 cm, simple","Excision of benign or malignant soft tissue lesion, cyst or scar up to 2 cm, cutaneous, subcutaneous or in mucous membrane",403,Excision or destruction of lesion of mouth or palate,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,1300,
Admitted/non-admitted ,901410120,90141-01-20,"Excision of benign/ malig ST lesion, cyst or scar > 2 cm, simple","Excision of benign or malignant soft tissue lesion, cyst or scar greater than 2 cm, cutaneous, subcutaneous or in mucous membrane",403,Excision or destruction of lesion of mouth or palate,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,3000,
Admitted/non-admitted ,901410130,90141-01-30,"Excision of benign/ malig ST lesion, cyst or scar, complicated","Excision of benign or malignant soft tissue lesion, cyst or scar, complicated (involving muscle, bone or other deep tissue)",403,Excision or destruction of lesion of mouth or palate,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,5000,
Admitted/non-admitted ,302410010,30241-00-10,EXC of benign intraosseous lesion <= 2 cm,Excision of benign intraosseous or odontogenic lesion up to 2 cm,1563,Other excision procedures on bone of other musculoskeletal sites,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,3000,
Admitted/non-admitted ,302410020,30241-00-20,EXC of benign intraosseous lesion > 2 cm,Excision of benign intraosseous or odontogenic lesion greater than 2 cm,1563,Other excision procedures on bone of other musculoskeletal sites,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,2500,
Admitted,417160600,41716-06-00,"Excision of lesion of maxillary antrum
","Excision of lesion of maxillary antrum
",386,Other excision procedures on nasal sinuses,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,8000,
Admitted/non-admitted ,302720000,30272-00-00,Partial excision of tongue,Partial excision of tongue,392,Excision procedures on tongue,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,2000,
Admitted/non-admitted ,417790100,41779-01-00,Total excision of tongue,Total excision of tongue,392,Excision procedures on tongue,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,12000,
Admitted,302470000,30247-00-00,Total excision of parotid gland,Total excision of parotid gland,397,Excision procedures on salivary gland or duct,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,9000,
