Dental Services Pricelist for Government sector (Article 11),,,,,,,,,,,
Admitted / Non admitted,SBSCode,SBS code -Hyphenated ,Short Description,Long Description,Block ,Block Description ,Chapter ,Chapter Description ,Department/ Specialty,Price,
Non-admitted,925099910,92509-99-10,"Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck ASA 99","Administration of anesthesia, trigeminal division block, regional block, nerve of head or neck, ASA 99",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,600,
Non-admitted,925131900,92513-19-00,Infiltration of local anaes ASA 19,"Infiltration of local anaesthetic, ASA 19",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Non-admitted,925132000,92513-20-00,Infiltration of local anaes ASA 20,"Infiltration of local anaesthetic, ASA 20",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Non-admitted,925132900,92513-29-00,Infiltration of local anaes ASA 29,"Infiltration of local anaesthetic, ASA 29",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Non-admitted,925133000,92513-30-00,Infiltration of local anaes ASA 30,"Infiltration of local anaesthetic, ASA 30",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Non-admitted,925133900,92513-39-00,Infiltration of local anaes ASA 39,"Infiltration of local anaesthetic, ASA 39",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Non-admitted,925134000,92513-40-00,Infiltration of local anaes ASA 40,"Infiltration of local anaesthetic, ASA 40",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Non-admitted,925134900,92513-49-00,Infiltration of local anaes ASA 49,"Infiltration of local anaesthetic, ASA 49",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Non-admitted,925135000,92513-50-00,Infiltration of local anaes ASA 50,"Infiltration of local anaesthetic, ASA 50",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Non-admitted,925135900,92513-59-00,Infiltration of local anaes ASA 59,"Infiltration of local anaesthetic, ASA 59",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Non-admitted,925136900,92513-69-00,Infiltration of local anaes ASA 69,"Infiltration of local anaesthetic, ASA 69",1909,Conduction anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925141000,92514-10-00,"General anaesthesia, ASA 10","General anaesthesia, ASA 10",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925141900,92514-19-00,"General anaesthesia, ASA 19","General anaesthesia, ASA 19",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925142000,92514-20-00,"General anaesthesia, ASA 20","General anaesthesia, ASA 20",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925142900,92514-29-00,"General anaesthesia, ASA 29","General anaesthesia, ASA 29",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925143000,92514-30-00,"General anaesthesia, ASA 30","General anaesthesia, ASA 30",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925143900,92514-39-00,"General anaesthesia, ASA 39","General anaesthesia, ASA 39",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925144000,92514-40-00,"General anaesthesia, ASA 40","General anaesthesia, ASA 40",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925144900,92514-49-00,"General anaesthesia, ASA 49","General anaesthesia, ASA 49",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925145000,92514-50-00,"General anaesthesia, ASA 50","General anaesthesia, ASA 50",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925145900,92514-59-00,"General anaesthesia, ASA 59","General anaesthesia, ASA 59",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925146900,92514-69-00,"General anaesthesia, ASA 69","General anaesthesia, ASA 69",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925149000,92514-90-00,"General anaesthesia, ASA 90","General anaesthesia, ASA 90",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925149900,92514-99-00,"General anaesthesia, ASA 99","General anaesthesia, ASA 99",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925154000,92515-40-00,"Sedation, ASA 40","Sedation, ASA 40",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925154900,92515-49-00,"Sedation, ASA 49","Sedation, ASA 49",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
Admitted/non-admitted ,925155000,92515-50-00,"Sedation, ASA 50","Sedation, ASA 50",1910,Cerebral anaesthesia,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Dental Anesthesiology,1000,
